index	0	1	2
GGGCGGR_SP1_Q6	1.3644233580007149e-165	7.926059325113245e-162	(17776, 550, 1579, 295, 'KANK2;PDIK1L;ATP13A2;LMAN2L;WFIKKN1;WNT2B;RNF24;SOX5;BCL6;TSNAXIP1;SDC1;RCE1;TBX2;GNA12;PDLIM4;TP53BP1;KCNMA1;INTS7;DEF6;CTDSP1;ADAMTS2;TRA2A;KCNH2;CEP63;ADAMTSL3;KCNJ2;MAFF;SMAD3;SNRNP48;ZNF143;ITGB8;HABP4;SALL1;MAPRE1;CNOT4;ADAP2;ZNF638;MYO18A;KLF11;AHCY;RAB2B;CD2AP;POLR2B;CYP26B1;SMARCD2;RGL1;EIF2S2;CRELD1;INSR;GRK6;KLHL25;ITSN2;ATOH7;ZNF414;SCRIB;HMGN2;SENP2;FOXO3;PHOX2A;RUFY4;TEAD3;TGFB1;CXXC5;TP53INP2;CCDC88A;TPPP3;CDKN2C;AXIN2;FKBP5;IQGAP1;KBTBD4;BLMH;KHDRBS1;KPNA3;C16orf72;PKN2;PRPF3;EIF2AK3;ABCB9;PTMA;DNM2;AP1G1;CELF1;PSMC5;TRIM8;HES7;PRRG2;MMP14;TAF8;SLC41A1;IPO7;SMOC1;DTNB;LMAN2;NUFIP2;RALY;ASTN1;WNT7A;ESRP2;RPS3;MFGE8;ZNF512;TSSK6;RAB28;ZNF367;ZFP36L2;ACOT11;PLEKHM1;CASKIN1;PARD6A;UBE2Z;NUCB2;SIX6;CLIP1;MRPL43;FEZ2;LAPTM4A;GAD1;ASPSCR1;SENP8;RBM12;MTCH2;ZSCAN2;ELN;DPP8;RPUSD4;KIF1B;E4F1;UBIAD1;ZDHHC1;OTUD7B;SNX17;DLGAP4;WNT4;SIPA1;CDC42EP3;LIMD2;CORO1A;PDS5B;TOP2A;MXD3;TLX3;CBFB;SART1;SFXN2;IGF2BP1;IGF1R;FRS2;RANBP10;GFOD2;NUTF2;ZBTB4;FLII;TP53;KDM2A;STRADA;SUPT16H;NCOA6;PRICKLE4;HMGA1;CITED4;FHOD1;PTCH1;DACT2;MTMR3;NIPBL;SLC12A4;RBBP8;ANKS1A;NOSIP;NPPC;C10orf2;IGFBP7;EZH2;ZCCHC24;CTCF;STAG1;ZFAND2B;ZBTB7A;NOTUM;NPM1;CPNE1;AP3D1;RABEP2;IGF2-AS;MTOR;PCSK5;FHIT;HDLBP;CPD;ATAD5;PLEC;ATXN2L;MYO9A;ZDHHC7;COL9A3;SEC11A;DDX42;ABHD2;FRS3;FNBP4;PLA2G15;STC2;SEMA4C;SV2A;TBX3;SLC9A5;IGF2;TRIB1;PTHLH;DLEU2;RAB1B;DENND4A;RAPGEFL1;NDRG2;FTSJ3;SPAG4;PELI3;AIP;EIF2B4;RABGGTA;WARS2;CELF6;RILPL2;SMAP2;HSD11B2;GSTP1;TET2;DLEU7;IGF2BP3;NSRP1;PIP4K2B;SOCS2;SPHK2;DDB2;NPC2;SLFNL1;NOTCH1;DLEU1;NHEJ1;SHMT1;PAX2;MAF1;PNPT1;SUGP1;POLR2A;SMYD4;ARL3;ZCCHC8;ANAPC13;BDNF;ALDH2;RAPGEF6;FBXW11;PSMA1;STARD3NL;GRB2;E2F1;GFPT2;PRDM12;PITPNM1;MAP3K3;DNMT3A;ARIH1;NMNAT2;MAPT;TCF4;CSE1L;FAF1;SSH2;TNFRSF21;ERGIC3;ILF3;DCAF7;TAF11;PDE6D;ID4;BMP2;ABHD15;PPM1A;PNKD;PSMB3;PSMC3;C1orf21;MIR17HG;EIF4G1;HNRNPD;BCS1L;PRRT3;RAB11A;USP37;RPIA;LZTS2;B9D2;GOLGA6A')
GGGAGGRR_MAZ_Q6	5.927209651058884e-116	1.7215849850121035e-112	(17776, 550, 1333, 231, 'ADAMTS3;WFIKKN1;SOX5;MOV10;AAMP;TSNAXIP1;SDC1;TBX2;N4BP2L2;KCNMA1;FMNL1;STC1;ARHGEF12;SUPT3H;SCUBE3;KCNH2;CALD1;TRMT11;MYBPC3;NF1;ADCY4;SRC;ZNF143;ITGB8;ZZZ3;PPARG;SALL1;CNOT4;COL11A1;MRC2;HIST2H2BE;CCND2;PDE11A;SPI1;FOXO1;FAM134A;POU2F3;RGL1;RARA;GRK6;TNPO1;HMGN2;SENP2;FOXO3;ANGPTL7;TEAD3;H1FX;ALPI;CXXC5;ADAMTSL4;ESR1;MAX;RORA;EPAS1;RERE;VAMP4;LIF;PTMA;LOC100130691;TRIM8;NCK1;KCNJ11;CELF1;PRRG2;MMP14;SLC41A1;ZBTB26;NUFIP2;RALY;ASTN1;CNNM2;WNT7A;HSD17B2;TGFB2;PDZD7;ACOT11;UBE2Z;GADD45B;TLK1;CLIP1;FGFRL1;ZBTB7B;SMARCA4;NFATC4;PAPPA;FNBP1L;ZSCAN2;GH2;KIF1B;GSS;PTPRG;OTUD7B;ASS1;ACTR1A;MAMSTR;SIPA1;CDC42EP3;SMG7;CORO1A;PDS5B;MXD3;TBX6;ZNF341;NECAB3;FLI1;NR1H3;IGF2BP1;PENK;IGF1R;RANBP10;NUTF2;CYBRD1;ZBTB4;TP53;AGPS;FAM46A;KDM2A;SUPT16H;HMGA1;DNMT1;PTPRJ;SLC12A4;ALDOA;HMGA2;NIPBL;MFAP2;SH2B3;MAPK3;FAM65A;NOSIP;CTCF;SSBP3;CSH1;STAG1;ARNT;VPS13C;AP3D1;FAM53B;TTLL6;MSL2;FBN1;FAM57B;ALKBH5;ATAD5;RYBP;PLEC;ATXN2L;CNPPD1;FRS3;S1PR2;RHOC;PLA2G15;DLC1;SEMA4C;PTPRF;STC2;TBX3;HIST2H2AC;IGF2;PI15;THRAP3;NPR3;TLE3;TRIB1;C1QTNF4;TAOK1;WDR90;LPP;GRM6;NDRG2;ZNF462;CSH2;PELI3;AIP;RAPGEFL1;SLIT3;RABGGTA;CELF6;CSHL1;RILPL2;CABP1;SUFU;IGF2BP3;SOCS2;ALPPL2;NOTCH1;REST;ELOVL4;PAX2;RPL5;POLR2A;LCAT;ECEL1;BDNF;ACAN;E2F1;PITPNM1;PRDM12;MAP3K3;DNMT3A;NMNAT2;MAPT;CDK2AP2;TCF4;PIP5K1A;RBM39;PSMD2;ERGIC3;ILF3;BNC2;PPM1A;BMP2;ID4;PLAG1;PNKD;KDM4A;C1orf21;MIR17HG;HDAC11;GH1;CHCHD7;EIF4G1;ADAM11;CDK6;MSI1;HNRNPD;LIN28A;GRK5;JAZF1;EPB41L1;NUDT3')
CAGGTG_E12_Q6	1.9519711161365202e-107	3.7797258885188984e-104	(17776, 550, 1528, 236, 'KIF9;FAM83H;PDIK1L;ATP13A2;LMAN2L;MAPK14;WNT2B;GIT1;THAP11;BCL6;SDC1;TBX2;RHBDL1;GNA12;TP53BP1;KCNMA1;DEF6;FMNL1;STC1;ARHGEF12;POMC;SCUBE3;ZAR1;SEMA4G;RREB1;KCNH2;KCNJ2;MYBPC3;SRM;SMAD3;PLCD4;ITGB8;ANKRD39;SMOC2;CNOT4;AHSA2;PDE11A;MYO18A;SPI1;POU2F3;CD2AP;IRF1;SMARCD2;FBXL16;CRELD1;OMG;TMEM176A;ITSN2;ATOH7;HMGN2;SCAND1;ANGPTL7;PHOX2A;LZTS2;CXXC5;ESR1;CDKN2C;AXIN2;H6PD;FKBP5;IQGAP1;EPAS1;PKN2;EIF2AK3;LIF;KCTD13;C17orf82;ATP6V0D1;TRIM8;KCNJ11;HES7;CELF1;ZNF664;PRRG2;DLK1;ADAMTS19;MADD;LTBP2;SMOC1;WNT7B;PC;F12;DTNB;NUFIP2;CNNM2;CAMK1D;APOBR;GORASP2;KLHL18;RHOQ;SPOCK2;ESRP2;GLI2;SERPINE2;ACOT11;CASKIN1;GADD45B;LTBP1;MPHOSPH9;SYVN1;LMF1;FGFRL1;GAD1;ZBTB7B;NFATC4;TBC1D21;ITPK1;FNBP1L;CPZ;ELN;RPUSD4;JAZF1;OTUD7B;ASS1;SNX17;MAMSTR;SIPA1;CDC42EP3;CORO1A;AKTIP;PSEN2;TLX3;NOV;LRP5;NR1H3;IGF2BP1;ADAMTS17;IGF1R;PDE3A;DOC2A;ZBTB4;FLII;EPDR1;PRELID1;NCOA6;AK5;HMGA1;PITX1;FHOD1;PTPRJ;ALDOA;MFAP2;ANKS1A;RHOD;NPPC;EZH2;RAB24;ZHX2;UBXN2A;SSBP3;STAG1;PBRM1;DAPK1;SPCS1;SPIN1;CPNE1;FAM53B;IGF2-AS;TTLL6;CDH13;HDLBP;LOC100289580;ATAD5;DIS3L2;PLEC;KCNQ1;PKIA;COL9A3;FRS3;S1PR2;STC2;SEMA4C;SV2A;PIK3R1;IGF2;TMEM134;NPR3;GIGYF2;TRIB1;C1QTNF4;ANK3;TAOK1;PTHLH;WDR90;DENND4A;CKB;SOCS5;SRPK1;EFEMP1;PELI3;ZNF462;EIF2B4;RAB26;WARS2;SMAP2;HSD11B2;DLEU7;RBL1;CRIM1;PAX2;MAF1;CCDC78;RHOH;ENPP2;BDNF;SLIT2;FBXW11;KCNB1;GRB2;HHIP;E2F1;DNMT3A;MAPT;CDK2AP2;IGF2BP2;AAK1;FAF1;SSH2;TNFRSF21;PLA2G6;BNC2;TAF11;METTL8;PLAG1;SEPP1;RASGEF1B;WNT9A;CHCHD7;ADAM11;LIN28A;BMP6;SLC30A2;USP37;STRA6;PLCD3;SSH3')
TTGTTT_FOXO4_01	6.96308365980806e-93	1.0112296496857615e-89	(17776, 550, 1344, 208, 'NT5C2;PRKG2;GIT1;NFATC3;RNF24;SOX5;AAMP;ZNF219;BCL6;CRYBA1;PPP6R3;PDLIM4;STC1;RREB1;SCUBE3;SEMA4G;CUL1;MAFF;NF1;SMAD3;ZNF143;SATB2;ITGB8;ZZZ3;IL31RA;NAV3;TMEM155;MRC2;MYO18A;HPCAL1;FOXO1;FAM134A;NSD1;MRPL11;INSR;OMG;KCNJ16;ROMO1;TNPO1;NFS1;HMGN2;CXXC5;TPPP3;CDKN2C;AXIN2;FKBP5;RORA;GTF2B;DNAJB4;CAMKMT;ALOXE3;PKN2;EIF2AK3;LIF;TRIM8;ZNF664;TEAD1;PMCH;SYNM;SMOC1;NUFIP2;FAM124B;ETS1;ESRP2;RHOQ;KBTBD2;MFGE8;PSKH1;TGFB2;TMIGD1;TLK1;TSEN15;CDC14B;SMARCA4;EDC4;PAPPA;C6orf106;ZSCAN2;SENP6;BBS7;GPR15;RPUSD4;GZMA;GSS;OTUD7B;DLGAP4;NOS3;CCDC53;FAM178B;CORO1A;LLGL1;AKTIP;TBX6;CBFB;LRP5;FLI1;PENK;IGF1R;FRS2;SLC38A9;RANBP10;TRIM63;TP53;SPON1;KDM2A;NCOA6;CRIPT;CDS2;PITX1;PTCH1;KCNJ15;HMGA2;NIPBL;ANKS1A;MAPK3;ECM2;SSBP3;ZHX2;STAG1;ZNFX1;USP49;ZFAND2B;CBFA2T2;EXOSC9;PDE1A;CPNE1;FAM53B;PPP2R3A;MSL2;SYTL2;PREPL;RPRD2;PIK3C2A;TFAP2B;RBL2;FAIM2;FILIP1;CNPPD1;MARK3;PKIA;S1PR2;SFMBT1;DLC1;SEMA4C;PIK3R1;STC2;TBX3;ANK3;TRIB1;ADAM28;VGLL3;DENND4A;RAB1B;ANKZF1;CKB;LPP;SLC22A2;EFEMP1;SLIT3;CELF6;PDE3B;DLEU7;GHR;NMBR;REST;CRIM1;ELOVL4;PAX2;ENPP2;NRN1L;BDNF;HCAR2;HHIP;PRDM12;MAP3K3;SZT2;NMNAT2;KCNJ13;TCF4;AAK1;SSH2;RBM39;TNFRSF21;ILF3;PPM1B;TAF11;SMAD1;PLAG1;ID4;PNKD;SEPP1;IGF1;BNC2;PCNA;RASGEF1B;C1orf21;MIR17HG;EIF4G1;CHCHD7;CDK6;MSI1;GRK5;BCL7A;TBX4;TLE3;LZTS2;NUDT3;RIOK3')
BLALOCK_ALZHEIMERS_DISEASE_UP	5.166661399336895e-81	6.002721153047776e-78	(17776, 550, 1088, 177, 'ECI1;CDK2AP1;DSE;STAU1;NFATC3;RNF24;BRAP;BCL6;PPP6R3;GNA12;PDLIM4;ADCY3;CTDSP1;RREB1;SEMA4G;CALD1;MAFF;PDIA4;ITGB8;CHMP1A;DLG5;MRC2;HIST2H2BE;FOXO1;TOP3A;INSR;GRK6;SCRIB;NPC1;TNPO1;FGFR3;FOXO3;H1FX;MYO6;TGFB1;MAX;CDKN2C;IQGAP1;SH3GL3;AKAP13;KHDRBS1;TAT;PTMA;NCK1;ADCK3;SYNM;GAS1;RBMS3;LTBP2;RPGRIP1;WNT7B;PC;SDCCAG3;RALY;RHOQ;KBTBD2;GLI2;NFIC;PSKH1;TGFB2;ZFP36L2;TNFSF10;GADD45B;MYO9B;NCOR2;CDC16;FEZ2;ITPK1;SETD2;RPS10;MC1R;TMBIM1;PML;ISLR;SNED1;UPF3A;ZFHX4;NMB;TBX6;CBFB;SART1;SLC25A21;IGF1R;PDE3A;TP53;SEPT2;FLII;METTL13;FAM46A;KDM2A;DCBLD2;PTCH1;PKD1;KCNJ15;NIPBL;NUP160;NOSIP;ECM2;STK10;NUP205;FGF18;STAG1;PBRM1;FAHD2A;EVI2A;FUT2;TAOK2;FBN1;PCSK5;CCND3;GRB10;MAP2K2;LHX3;RYBP;PLEC;MARK3;SEC11A;DDX42;COPB1;PTPRF;SEMA4C;ANP32B;RAB1B;LPP;CD164;GRM6;ECE1;EFEMP1;UBN1;GOSR1;SNTA1;RBL1;CRADD;SLC11A1;REST;DLEU1;SMOX;PPARD;RPL5;ITIH4;ZMIZ1;HNRNPH3;GFPT2;WIPF2;MAP3K3;CTSS;PHF20;RPS6KA1;MTMR11;PIP5K1A;PLA2G6;USP10;SLC7A6;DCAF7;PAPPA2;TAF11;PLAG1;ID4;SMAD1;PPM1B;NCAPG;SEPP1;C9orf3;SPSB1;EVI2B;USP7;DUT;DDX27;FANCE;CDK10;CTAGE1;GRK5;TLE3;PTP4A2;NUCKS1;SSH3;RIOK3')
PILON_KLF1_TARGETS_DN	4.8847169711610195e-78	4.729294158442261e-75	(17776, 550, 1278, 187, 'CDK2AP1;MED20;ATP13A2;MAPK14;NFATC3;EPB41L2;TP53BP1;TWISTNB;INTS7;DEF6;GPN1;RREB1;EXOSC5;TRA2A;RRAS2;CUL1;SLC25A16;ZNF143;MLXIP;CRTC3;MAPRE1;ZZZ3;TRIM13;CCND2;UBE2D2;FOXO1;TOP3A;PREX1;POLR2B;MRPL11;SMARCD2;CAPZB;E2F7;GRK6;ROMO1;TNPO1;MED13L;RIPK3;TGFB1;CXXC5;PAIP2B;IQGAP1;AKAP13;SLC44A2;KPNA3;RERE;KHDRBS1;VAMP4;PRPF3;EIF2AK3;AP1G1;CELF1;NCK1;KCNJ11;SBNO1;YEATS4;RPGRIP1;FAM133B;LMAN2;NAA25;DOCK10;ETS1;RPS3;KBTBD2;RAB28;ZFP36L2;SLBP;MPHOSPH9;NCOR2;IMPAD1;CLIP1;SYVN1;TSEN15;NCAPH;ZBTB7B;ETV6;ITCH;FAM69A;RPUSD4;CLN3;ATXN10;SETDB2;MYO1F;CCDC53;CDC42EP3;CORO1A;LIMD2;SMG7;MXD3;GLYR1;NUTF2;CBFB;FLI1;MALAT1;IGF1R;RASA2;GATAD2A;HP1BP3;AGPS;NCOA6;DNMT1;TMEM173;HMGA2;SH2B3;ANKS1A;CTCF;EZH2;NUP205;STAG1;SIPA1L3;IRF2BP2;EVI2A;SPIN1;UHRF1;SAMHD1;DYNC1I2;FAM49B;CDC42SE2;SLAIN2;MSL2;MTOR;RPRD2;UNC93B1;RYBP;RBL2;CYFIP2;MARK3;PLA2G15;PIK3R1;THRAP3;TLE3;ANP32E;MSL1;TRA2B;CD164;SRPK1;GOSR1;PDE3B;SUFU;IGF2BP3;RBL1;NPC2;DCAKD;NOTCH1;REST;DTL;SLC22A5;EIF4G3;RNF166;ARL6IP4;DNA2;ZCCHC8;ZMIZ1;ALDH2;FBXW11;PSMB10;EIF3C;SUB1;TRADD;PITPNM1;MAP3K3;TMEM38B;PHF20;CSE1L;SMCR8;RPS6KA1;SSH2;ILF3;METTL8;PRIM1;ELK4;CNBP;C1orf21;HNRNPD;USP7;DUT;CDK6;SH2B1;BCL7A;FEM1B;RPIA;ZBTB24;PTP4A2;USP37;B9D2;NUCKS1;RIOK3')
TGGAAA_NFAT_Q4_01	7.153190077338977e-73	5.936218778467022e-70	(17776, 550, 1233, 178, 'CDK2AP1;ATP5G1;NT5C2;CCDC91;SOX5;BCL6;TBX2;TP53BP1;KCNMA1;DEF6;STC1;ADAMTS2;POMC;SCUBE3;ARHGEF12;RREB1;TRA2A;NOG;CALD1;ADAMTSL3;KCNJ2;MAFF;NF1;SMAD3;ADCY4;SRC;ZNF143;ITGB8;SATB2;NAV3;TMEM155;HIST2H2BE;MRC2;KLF11;POU2F3;CYP26B1;HSD17B12;SERPINH1;CUL3;RARA;ZNF354C;TNPO1;ANGPTL7;DDC;ADAMTSL4;ESR1;RORA;BLMH;RERE;GABPB2;LIF;AP1G1;TRIM8;TEAD1;MMP14;RBMS3;LTBP2;NUFIP2;RALY;ETS1;DAB2;ITIH3;TGFB2;TNFSF10;GADD45B;SIX6;LTBP1;FNDC9;GAD1;SENP8;EDC4;NFATC4;LOXL1;RPS10;DR1;ANKRD36B;OTUD7B;DLGAP4;ATXN10;WNT4;SIPA1;CDC42EP3;NMB;AKTIP;TLX3;FLI1;ZNF420;LRP5;ADAMTS17;TP53;C4orf36;GDPD5;FAM46A;SUPT16H;EFHD1;CRIPT;PTCH1;HMGA2;SH2B3;KCNE2;IGFBP7;STAG1;ZNFX1;NOTUM;AP3D1;CPNE1;PPP2R3A;TULP1;TTLL6;PCSK5;GRB10;ANTXR1;TFAP2B;DIS3L2;PLEC;MYO9A;KCNJ1;CYFIP2;S1PR2;SFMBT1;DLC1;SEMA4C;SV2A;IL5;TBX3;HIST2H2AC;TRPC4AP;NPR3;GIGYF2;VGLL3;NDRG2;SLIT3;CABLES1;RILPL2;PDE3B;PEX1;NSRP1;GFI1;SOCS2;BOK;REST;ZFAT;CCDC3;ECEL1;ENPP2;ZMIZ1;HNRNPH3;NRN1L;BDNF;RAPGEF6;PSMA1;VPS45;NMNAT2;KCNJ13;TCF4;RBM39;CD79B;PPM1B;BNC2;ID4;PLAG1;BMP2;PNKD;IGF1;C1orf21;MIR17HG;EIF4G1;CHCHD7;HNRNPD;CDK6;GRK5;FERD3L;IGFBP3;RAB11A;BMP6;TBX4;PTP4A2;NUDT3')
CTTTGT_LEF1_Q2	1.6583547387016151e-71	1.204191679579923e-68	(17776, 550, 1272, 179, 'FAM83H;GIT1;CCDC91;RNF24;SOX5;THAP11;BCL6;NFATC3;SDC1;PCSK1;CTDSP1;STC1;SCUBE3;SEMA4G;TRA2A;CALD1;CUL1;SMAD3;ALPK3;ITGB8;NAV3;CNOT4;COL11A1;HPCAL1;PDE10A;SLC23A3;NSD1;RARA;OMG;ATOH7;SCAND1;FGFR3;FOXO3;ANGPTL7;CXXC5;TP53INP2;DDC;AXIN2;FKBP5;DNAJB4;KHDRBS1;RERE;PKN2;GABPB2;PTPDC1;PTMA;C17orf82;CELF1;ZNF664;TEAD1;PRRG2;MMP14;TAF8;ADAMTS19;ASTN2;RBMS3;NUFIP2;ASTN1;WNT7A;RHOQ;TSSK6;TGFB2;TNFSF10;CDO1;TLK1;LMF1;GAD1;SMARCA4;ETV6;SETD2;FNBP1L;ZSCAN2;RPUSD4;KIF1B;GSS;PTPRG;SNX17;AKAP7;DLGAP4;ACTR1A;SIPA1;CDC42EP3;LLGL1;CBFB;GFOD2;LRP5;IGF2BP1;IGF1R;TP53;ZBTB4;HMGA1;PTPRJ;KCNJ15;HMGA2;MFAP2;CMIP;NOSIP;ECM2;CTCF;STK10;EZH2;ZCCHC24;ZHX2;SSBP3;STAG1;PARP6;PBRM1;USP49;DAPK1;UHRF1;CBLN4;CPNE1;DYNC1I2;PPP2R3A;PACS1;RYBP;PLEC;CCNL1;CYFIP2;PKIA;DDX42;ABHD2;S1PR2;STC2;SEMA4C;PIK3R1;TRPC4AP;ANK3;NPR3;TRIB1;C1QTNF4;USP34;VGLL3;CKB;SOCS5;NDRG2;EIF2B4;SLIT3;HSD11B2;SUFU;TET2;CRADD;NPC2;BOK;NOTCH1;REST;SMOX;CRIM1;PAX2;POLR2A;ECEL1;ZMIZ1;HNRNPH3;BDNF;FBXW11;GFPT2;DNMT3A;ARIH1;KCNJ13;MAPT;SSH2;PIP5K1A;TNFRSF21;PSMD2;ILF3;BNC2;PCNA;SMAD1;RASGEF1B;MIR17HG;WNT9A;EIF4G1;CDK6;GRK5;COL9A2;RAB11A;TLE3;LZTS2;NUDT3')
AACTTT_UNKNOWN	1.0471844995469011e-70	6.759099951620909e-68	(17776, 550, 1317, 181, 'KANK2;CDK2AP1;STAU1;GIT1;SOX5;BCL6;ZNF219;RSRC2;PCSK1;OR2S2;KCNMA1;FMNL1;CTDSP1;PKHD1;ADAMTS2;RREB1;SCUBE3;STC1;NOG;CALD1;ADAMTSL3;CUL1;KCNJ2;SMAD3;SRC;PDIA4;SALL1;NAV3;MC3R;MYO18A;HPCAL1;FOXO1;KNTC1;CYP26B1;IRF1;NSD1;HSD17B12;SERPINH1;CUL3;EIF2S2;GRK6;ABCB5;HMGN2;FOXO3;CXXC5;DIABLO;ESR1;CCDC88A;AXIN2;RORA;PRPF3;PTMA;TRIM8;HES7;TEAD1;DLK1;RBMS3;SMOC1;MMP24;SDCCAG3;ASTN1;CAMK1D;WNT7A;RHOQ;ARPC2;TNFSF10;ZFP36L2;NUCB2;LTBP1;TLK1;CDC14B;ZBTB7B;ETV6;NFATC4;SETD2;C6orf106;MTCH2;SENP6;GSS;ANKRD36B;PTPRG;OTUD7B;SNX17;ZFHX4;DLGAP4;PDS5B;TLX3;FLI1;SFXN2;IGF2BP1;IGF1R;TP53;MOS;KDM2A;PTCH1;NIPBL;CMIP;ANKS1A;MAPK3;KCNE2;CTCF;SSBP3;ZHX2;STAG1;PARP6;HEMGN;PDE1A;CBLN4;FAM53B;PPP2R3A;CDH13;SYTL2;PCSK5;ATXN3;RYBP;FILIP1;PTPRF;SEMA4C;PIK3R1;STC2;THRAP3;TLE3;ANK3;GIGYF2;TRIB1;ADAMTS6;SPTBN2;PTHLH;EIF2B4;ZNF462;UBN1;SLIT3;RILPL2;CABP1;SUFU;DGKH;MRPS31;GHR;EPHB1;SOCS2;SLC1A3;NPC2;DCAKD;NOTCH1;REST;CRIM1;ELOVL4;PAX2;PPARD;SLC22A5;ARL3;ENPP2;BDNF;ACAN;GFPT2;PRDM12;MAP3K3;DNMT3A;CTSS;KCNJ13;TCF4;AAK1;SSH2;TNFRSF21;BNC2;TAF11;SMAD1;PLAG1;PPM1A;SEPP1;IGF1;MIR17HG;EIF4G1;CHCHD7;CDK6;BCS1L;ACSS2;LIN28A;TCP11;JAZF1;LZTS2')
PUJANA_BRCA1_PCC_NETWORK	9.63244211769975e-65	5.595573193827401e-62	(17776, 550, 1022, 154, 'MED20;ATAD2B;ABCE1;NFATC3;BRAP;DGKE;FANCC;GPN1;RPS20;RREB1;GIP;TRA2A;HINT1;RPL10A;CUL1;SRM;ARFGEF2;ZZZ3;MAPRE1;UBE2D2;AHCY;INPP5E;KNTC1;CD2AP;POLR2B;SMARCD2;PMAIP1;EIF2S2;GRK6;HMGN2;TGFB1;MAX;CDKN2C;DNAJB4;GTF2B;BLMH;KHDRBS1;PTMA;AP1G1;NCK1;BYSL;ASTN2;AP3B1;EIF3H;IPO7;EIF4E2;RALY;KLHL18;CRLF3;RAB28;ARPC2;RPS6KB2;SLBP;PYCR1;ECE2;MPHOSPH9;EXOSC10;PPM1G;NCAPH;PCCB;CDC16;SMARCA4;ITPK1;DR1;GPR15;GSS;ATXN10;SMG7;CORO1A;PDS5B;TOP2A;TBX6;NUTF2;CBFB;IGF1R;CD19;TP53;SRSF9;AGPS;METTL13;RASA3;HMGA1;DNMT1;PTPRJ;RBBP8;NUP160;ANAPC10;CTCF;EZH2;NUP205;FGF18;ARNT;NPM1;TAOK2;MTOR;CCND3;CAPZA1;ATXN3;POLA2;ATXN2L;SNRPC;COPB1;FNBP4;ERP29;ANP32E;USP34;ANP32B;DLEU2;TRA2B;SDHB;SRPK1;GOSR1;PMPCA;MRPS31;IGF2BP3;RBL1;HEXA;GFI1;DDB2;DLEU1;PIGC;PAX2;RPL5;RHOH;TARS;DNA2;PPIL6;PSMA1;SUB1;GRB2;E2F1;PHF20;CSE1L;CCNA2;VHL;CD79B;ILF3;DCAF7;TAF11;PPM1A;USP10;SLC7A6;PCNA;PRIM1;CNBP;MPHOSPH6;HNRNPD;DUT;DDX27;BCL7A;RPIA;ZBTB24;PTP4A2;AURKA')
